2025-10-28 19:22:50 INFO: Server started at: https://localhost:3000
2025-10-28 19:51:38 INFO: Server started at: https://localhost:8000
2025-11-03 09:18:23 INFO: Server started at: https://localhost:8000
2025-11-06 10:25:44 INFO: Server started at: https://localhost:8000
2025-11-06 10:45:47 INFO: Server started at: https://localhost:8000
2025-11-06 15:54:24 INFO: JWT valid | Time: 2025-11-06T14:54:24.111Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 15:54:26 INFO: JWT valid | Time: 2025-11-06T14:54:26.036Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 16:32:26 INFO: Server started at: https://localhost:8000
2025-11-06 16:46:26 INFO: JWT valid | Time: 2025-11-06T15:46:26.815Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 16:46:28 INFO: JWT valid | Time: 2025-11-06T15:46:28.622Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 16:56:44 INFO: JWT valid | Time: 2025-11-06T15:56:44.108Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 16:56:45 INFO: JWT valid | Time: 2025-11-06T15:56:45.428Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 16:59:07 INFO: JWT valid | Time: 2025-11-06T15:59:07.115Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-06 16:59:08 INFO: JWT valid | Time: 2025-11-06T15:59:08.212Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:27:05 INFO: Server started at: https://localhost:8000
2025-11-07 14:27:11 INFO: JWT valid | Time: 2025-11-07T13:27:11.598Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:27:13 INFO: JWT valid | Time: 2025-11-07T13:27:13.286Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:30:52 INFO: JWT valid | Time: 2025-11-07T13:30:52.570Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:30:54 INFO: JWT valid | Time: 2025-11-07T13:30:54.207Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:35:26 INFO: JWT valid | Time: 2025-11-07T13:35:26.588Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:35:27 INFO: JWT valid | Time: 2025-11-07T13:35:27.776Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:37:05 INFO: JWT valid | Time: 2025-11-07T13:37:05.496Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:37:06 INFO: JWT valid | Time: 2025-11-07T13:37:06.710Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:37:59 INFO: JWT valid | Time: 2025-11-07T13:37:59.702Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:38:01 INFO: JWT valid | Time: 2025-11-07T13:38:01.610Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:39:26 INFO: JWT valid | Time: 2025-11-07T13:39:26.207Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:39:32 INFO: JWT valid | Time: 2025-11-07T13:39:32.543Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:48:45 INFO: JWT valid | Time: 2025-11-07T13:48:45.139Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
2025-11-07 14:48:46 INFO: JWT valid | Time: 2025-11-07T13:48:46.465Z | Method: GET | Path: /api/current-user | OIB: N/A | Email: N/A | Role: N/A | IP: ::ffff:127.0.0.1
